,masterIncidentNumber,responseDate,reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,x,y,policePrecinct,neighborhood,lastUpdateDate
100000,18-344224,2018/10/13 00:30:19+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,44.94836,-93.29447,-10385492.6,5613394.707,5,Lowry Hill East,2018/10/13 08:20:40+00
100001,18-344230,2018/10/13 00:39:28+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Latino,Male,44.98116889,-93.26678531,-10382411.05,5618557.4,1,Downtown West,2018/10/13 08:20:42+00
100002,18-344240,2018/10/13 00:46:46+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Male,44.993989,-93.26049965,-10381711.33,5620575.227,2,St. Anthony West,2018/10/13 08:20:42+00
100003,18-344257,2018/10/13 01:08:47+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Male,45.01266933,-93.25090187,-10380642.91,5623516.233,2,Holland,2018/10/13 08:20:42+00
100004,18-344268,2018/10/13 01:24:23+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Male,45.01253021,-93.28182889,-10384085.69,5623494.327,4,Hawthorne,2018/10/13 08:20:42+00
100005,18-344274,2018/10/13 01:30:33+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.99671332,-93.28913951,-10384899.51,5621004.08,4,Near - North,2018/10/13 08:20:38+00
100006,18-344279,2018/10/13 01:35:40+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,45.00401304,-93.28214895,-10384121.32,5622153.279,4,Hawthorne,2018/10/13 08:20:42+00
100007,18-344285,2018/10/13 01:41:11+00,Investigative,Suspicious Vehicle (P),SNT-Sent,NO,NO,NO,Black,Black,Male,45.01316196,-93.25276672,-10380850.51,5623593.806,2,Holland,2018/10/13 08:20:42+00
100008,18-344294,2018/10/13 01:50:12+00,Equipment Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Other,Male,45.01403478,-93.29306645,-10385336.65,5623731.246,4,Folwell,2018/10/13 08:20:39+00
100009,18-344308,2018/10/13 01:59:44+00,Investigative,Suspicious Vehicle (P),SNT-Sent,NO,NO,NO,Unknown,Black,Female,44.96097759,-93.22758464,-10378047.25,5615380.297,3,Seward,2018/10/13 08:20:42+00
